rank,prompt_id,caption,id_A,id_B,system_A,system_B,audio_path_A,audio_path_B,mos_ta_A,mos_ta_B,mos_oq_A,mos_oq_B,clap_A,clap_B,aqa_A,aqa_B,mqa_mean_A,mqa_mean_B,key_tag,key_A,key_B,key_delta,opp_tag,opp_delta,af_key_delta,mf_key_delta,tradeoff,human_agree,rank_score
11,P006,"This Baroque chamber ensemble features a blend of mysterious instruments like violin, viola, and cello, suited for an intimate performance.",audiomos2025-track1-S006_P006,audiomos2025-track1-S023_P006,S006,S023,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S006_P006.wav,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S023_P006.wav,4.0,3.0,3.4,2.4,0.0994,0.1083,0.0373,0.0046,0.6897,0.4844,context:intimate performance,0.9968,0.0141,0.9828,instrument:viola,-0.2130,0.6018,0.7473,0,1,1.1793
12,P008,"A grand, slow-paced Gregorian chant features a majestic style, perfect for a solemn church setting.",audiomos2025-track1-S017_P008,audiomos2025-track1-S006_P008,S017,S006,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S017_P008.wav,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S006_P008.wav,4.2,3.8,3.6,3.6,-0.0383,-0.0641,0.0012,0.0002,0.2561,0.0133,mood_theme:solemn,0.9579,0.0010,0.9569,genre:chant,-0.0056,0.4895,0.3914,0,1,1.1483
13,P070,This is a finnish techno pop piece with polka influences. There is a female vocalist in the lead singing rapidly in a manner that resembles yodeling. A male vocalist occasionally joins her at a lower pitch while singing the melody. The melodic background consists of a keyboard tune and a simple bass line. The atmosphere is playful and danceable. This piece could be used in the background of a comedic social media content.,audiomos2025-track1-S014_P070,audiomos2025-track1-S007_P070,S014,S007,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S014_P070.wav,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S007_P070.wav,4.0,1.6,3.6,1.6,0.4009,0.3655,0.9948,0.9707,0.8677,0.7237,vocal:female vocal,0.9876,0.0759,0.9117,vocal:male vocal,-0.0263,0.8459,0.4332,0,1,1.0940
14,P002,"The song features a joyful three-part children’s choral arrangement with percussion accompaniment, perfect for chamber music.",audiomos2025-track1-S031_P002,audiomos2025-track1-S002_P002,S031,S002,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S031_P002.wav,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S002_P002.wav,4.2,4.0,3.4,4.6,0.2462,0.2101,0.0076,0.0036,0.7268,0.4049,context:chamber music,0.8808,0.0004,0.8804,mood_theme:joyful,-0.0373,0.7039,0.9296,0,1,1.0564
15,P004,"Romantic classical music features piano and violin, offering a beautiful experience perfect for travel.",audiomos2025-track1-S004_P004,audiomos2025-track1-S002_P004,S004,S002,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S004_P004.wav,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S002_P004.wav,4.0,4.4,4.6,4.8,0.3522,0.3644,0.0124,0.0331,0.7846,0.5993,genre:classical,0.9996,0.0110,0.9886,context:travel,-0.0446,0.9173,0.9117,0,0,0.9886
16,P056,This soothing guitar melody features Southeast Asian influences and is performed with a wooden guitar as the main instrument. The song is designed to evoke a relaxed and calming mood.,audiomos2025-track1-S030_P056,audiomos2025-track1-S032_P056,S030,S032,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S030_P056.wav,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S032_P056.wav,4.0,3.8,3.6,4.0,0.4733,0.4582,0.9954,0.9903,0.8977,0.5741,genre:world music,0.9399,0.1192,0.8207,mood_theme:relaxed,0.0007,0.2588,0.7097,0,1,0.9848
17,P058,This modern pop music piece features orchestral instruments with deep wind sounds and clear high notes from the strings. The song is performed with a contemporary and dynamic style.,audiomos2025-track1-S010_P058,audiomos2025-track1-S007_P058,S010,S007,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S010_P058.wav,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S007_P058.wav,3.6,3.6,4.0,3.4,0.1029,0.0930,0.9841,0.9526,0.8345,0.6255,genre:pop,0.9707,0.0124,0.9583,instrument:strings,-0.0079,0.7819,0.0217,0,0,0.9583
18,P058,This modern pop music piece features orchestral instruments with deep wind sounds and clear high notes from the strings. The song is performed with a contemporary and dynamic style.,audiomos2025-track1-S009_P058,audiomos2025-track1-S014_P058,S009,S014,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S009_P058.wav,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S014_P058.wav,4.8,4.2,4.4,4.0,0.1562,0.1172,0.9399,0.9526,0.7304,0.5060,instrument:wind instruments,0.9241,0.1481,0.7761,mood_theme:contemporary,-0.2801,0.5799,0.2428,0,1,0.9313
19,P002,"The song features a joyful three-part children’s choral arrangement with percussion accompaniment, perfect for chamber music.",audiomos2025-track1-S031_P002,audiomos2025-track1-S009_P002,S031,S009,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S031_P002.wav,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S009_P002.wav,4.2,3.6,3.4,3.8,0.2462,0.2195,0.0076,0.0007,0.7268,0.4102,context:chamber music,0.8808,0.1330,0.7478,instrument:percussion,-0.0294,0.2003,0.7752,0,1,0.8974
20,P083,"This fast-paced, energetic pop track features electronic beats integrated with a rhythmic male hum, creating a vibrant atmosphere.",audiomos2025-track1-S010_P083,audiomos2025-track1-S026_P083,S010,S026,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S010_P083.wav,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S026_P083.wav,3.8,3.0,4.0,2.6,0.1307,0.1238,0.1192,0.1192,0.7979,0.6370,genre:pop,0.9241,0.1824,0.7417,mood_theme:energetic,0.0000,0.3045,-0.0030,0,1,0.8900
21,P054,"This lively pop music piece features violin and drum beats, with an expansive violin range and fast rhythms. The song is performed as vibrant background music for games.",audiomos2025-track1-S016_P054,audiomos2025-track1-S002_P054,S016,S002,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S016_P054.wav,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S002_P054.wav,3.6,3.8,4.6,4.8,0.1647,0.1286,0.0230,0.0019,0.4997,0.3184,instrument:drums,0.9924,0.1330,0.8595,genre:pop,-0.1305,0.7987,0.0989,0,0,0.8595
22,P021,"The low quality recording features a live performance of a classical song and it contains trombone melody playing over shimmering hi hats and sustained strings. It sounds muffled, but also passionate and emotional.",audiomos2025-track1-S029_P021,audiomos2025-track1-S022_P021,S029,S022,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S029_P021.wav,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S022_P021.wav,4.0,2.8,3.6,2.6,0.3765,0.3872,0.2227,0.2018,0.8048,0.4521,instrument:strings,0.9740,0.2690,0.7051,instrument:hi hats,-0.0416,0.3002,0.8722,0,1,0.8461
23,P058,This modern pop music piece features orchestral instruments with deep wind sounds and clear high notes from the strings. The song is performed with a contemporary and dynamic style.,audiomos2025-track1-S010_P058,audiomos2025-track1-S014_P058,S010,S014,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S010_P058.wav,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S014_P058.wav,3.6,4.2,4.0,4.0,0.1029,0.1172,0.9841,0.9526,0.8345,0.5060,genre:pop,0.9707,0.1330,0.8377,instrument:strings,-0.0027,0.4289,-0.0446,0,0,0.8377
24,P058,This modern pop music piece features orchestral instruments with deep wind sounds and clear high notes from the strings. The song is performed with a contemporary and dynamic style.,audiomos2025-track1-S007_P058,audiomos2025-track1-S014_P058,S007,S014,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S007_P058.wav,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S014_P058.wav,3.6,4.2,3.4,4.0,0.0930,0.1172,0.9526,0.9526,0.6255,0.5060,mood_theme:dynamic,0.9972,0.2690,0.7282,genre:pop,-0.1205,0.5322,0.8511,0,0,0.7282
