rank,id,track_id,caption,clap_spread,key_tag,key_spread,winner,loser,af_delta,mf_delta,tradeoff,clap_musicgen_large,clap_stable_audio_3,clap_meanaudio,clap_acestep_1_5,mqa_qwen_musicgen_large,mqa_qwen_stable_audio_3,mqa_qwen_meanaudio,mqa_qwen_acestep_1_5
42,oZScu7DU5qk,,"The music features for the most part an instrumental, however, towards the end of the music excerpt a female voice sings a short melody. The passage starts off with a synth sound playing a melody that's doubled in unison by the bass guitar. After that a sampled brass sound plays a repeating melody. Throughout the music one can hear a drum set taking an active part in shaping the pulse and flow of the music.",0.0559,instrument:brass,0.9842,acestep_1_5,stable_audio_3,0.8701,0.7802,1,0.2721,0.2943,0.3096,0.2537,0.6010,0.4318,0.4702,0.6383
43,gNpzuFPu6q8,,"The low quality recording features a passionate female vocalist singing over wooden percussion, synth lead melody and plucked strings melody playing in the background. It sounds passionate, emotional, joyful and traditional.",0.0560,vocal:female vocal,0.9910,stable_audio_3,musicgen_large,0.7712,0.9862,1,0.3142,0.3438,0.2878,0.3175,0.5149,0.4980,0.6653,0.7120
44,xM4p5pmRAxM,,This is a live performance of a classical music piece. There is a grand piano playing dramatically in minor keys. The piece has a grandiose and mysterious aura to it. This piece could be used in the soundtrack of a horror movie. It could also be used in a horror video game theme.,0.0562,mood_theme:grandiose,0.9215,meanaudio,acestep_1_5,-0.0312,0.4281,1,0.2334,0.2633,0.2897,0.2580,0.5408,0.8501,0.7683,0.4484
45,-r2-9oyIzkQ,,"The Romance song features an electric guitar lick, low toms roll and soft crash cymbal, followed by emotional piano chord progression and wide background crowd screams, as the passionate male vocal sings over it. Judging by the crowd sound effect, it seems that this is a live performance. Sounds emotional, passionate, heartfelt and romantic.",0.0563,vocal:male vocal,0.9822,meanaudio,musicgen_large,0.9630,0.9862,1,0.1646,0.2209,0.2005,0.2056,0.3805,0.5113,0.7009,0.4137
46,rkapTdi8NTQ,,"The Hip Hop song features a flat male vocal rapping over reverberant snaps, reverberant addictive plucked synth melody, smooth sub bass, punchy kick, low toms roll and a riser. It sounds smooth, groovy and easygoing - like something you would listen to in a car.",0.0568,instrument:male vocal,0.9910,stable_audio_3,acestep_1_5,0.8931,0.9593,1,0.3169,0.3698,0.3512,0.3737,0.7283,0.8612,0.6358,0.5295
47,1PSzSTilu_s,,"The low quality recording features a southern rock song that consists of flat male vocal singing over wide acoustic rhythm guitars, short electric guitar lick, smooth bass guitar, punchy snare, simple kick pattern and shimmering hi-hats. It sounds happy and fun.",0.0578,instrument:male vocal,0.9969,meanaudio,musicgen_large,0.8173,0.4021,1,0.3301,0.3879,0.3671,0.3702,0.6235,0.8867,0.9130,0.5895
48,BVt8RgNrwbQ,,"The low quality recording features an ambient song that consists of a wide echoing female vocal talking over resonating bowl tone and mellow percussion. It sounds passionate, percussive and hypnotic.",0.0582,instrument:percussion,0.9533,stable_audio_3,meanaudio,0.1293,0.1416,1,0.2550,0.3079,0.3131,0.2805,0.4094,0.6134,0.4980,0.5754
49,Sp3T_x3SGzQ,,"The low quality recording features a lullaby song that consists of an intimate, soft male vocal singing over arpeggiated acoustic guitar melody and wide sustained strings melody. It is a bit noisy and there is a tinny metallic impact towards the end of the loop. It sounds soft, mellow and emotional.",0.0584,instrument:acoustic guitar,0.9751,stable_audio_3,meanaudio,0.7870,0.9631,1,0.3790,0.4329,0.3959,0.3745,0.7850,0.8552,0.6195,0.8105
50,SKQbQXPjmvE,,This song contains acoustic drums playing a simple rock groove after coming in with some fill-ins on the toms. An e-bass is playing along. An e-guitar is playing a simple repeating melody then another e-guitar comes in strumming chords in the background. You can hear clapping and the crowd screaming and cheering. This song may be playing at a live concert.,0.0586,genre:rock,0.9628,musicgen_large,acestep_1_5,0.5546,0.7131,1,0.3687,0.3611,0.3440,0.3101,0.6833,0.5644,0.7137,0.4711
51,pXz67syyse0,,This is a classical music piece performed on a baritone saxophone. The tone of the baritone saxophone resembles a cello sound. There is a tender feel to the melody being played. The atmosphere is heart-touching. This piece would fit perfectly in the soundtrack of a documentary with serene scenes such as a birdlife documentary.,0.0587,genre:classical,0.9944,meanaudio,stable_audio_3,0.0670,0.5083,1,0.3059,0.3379,0.3574,0.2987,0.6499,0.3198,0.8440,0.8057
52,A_Yd5huF2Pg,,"The song is an instrumental. The tempo is medium with a church organ playing melody, steady drumming rhythm, cymbals crashing, tambourine percussion, steady bass, and guitar playing rhythm. The song is exciting and retro nostalgia. The audio quality is poor.",0.0589,instrument:guitar,0.9805,musicgen_large,acestep_1_5,0.7715,0.6258,1,0.2922,0.3275,0.3110,0.3511,0.7934,0.9365,0.8401,0.5111
53,KDuusOmEMHg,,"The Children song features wide harmonizing vocals singing over shimmering shakers, groovy bass, punchy snare, soft kick hits, groovy piano chords, shimmering bells melody and acoustic rhythm guitar chords. It sounds addictive, happy and fun - as every children's song should sound.",0.0600,vocal:vocals,0.9923,meanaudio,musicgen_large,0.7959,0.9679,1,0.3127,0.2969,0.2528,0.2825,0.5789,0.7194,0.7065,0.5686
54,_2wFjBoreaY,,"A male vocalist sings this energetic Punjabi folk song. The tempo is medium fast with an infectious tabla and Dhol percussive beat, ektara rhythm and a funky keyboard accompaniment. The song is lively, spirited, cheerful, simple, happy, playful, enthusiastic, vivacious with a festive, celebratory vibe and dance groove. This song is a Festive Punjabi Folk song.",0.0603,vocal:male vocal,0.9956,stable_audio_3,acestep_1_5,0.9610,0.9962,1,0.4359,0.4722,0.4119,0.4305,0.8157,0.9328,0.9087,0.8298
55,3jLef5eHgzU,,This audio contains someone playing a distorted e-guitar solo in a higher register along with acoustic drums with cymbal hits and a half open hit. An e-bass is underlining the rhythm. There are digital comedic noises and laughter that seem not to be part of the musical composition. This song may be playing in a comedic tv-show.,0.0606,instrument:electric guitar,0.9241,meanaudio,acestep_1_5,0.5327,0.3458,1,0.2923,0.2317,0.2330,0.2490,0.5044,0.7361,0.3321,0.3330
56,D7Cvisf3jf8,,This is a documentary music piece. There is a strings section that is holding a single chord. The bass guitar is repeating an ominous bass line. There is a simple percussion beat in the rhythmic background. The atmosphere has a dramatic feel to it. It feels like a story is about to unfold. The piece suits perfectly as a documentary music piece. It could also fit well in the soundtrack of a mystery movie.,0.0611,instrument:strings,0.9610,meanaudio,stable_audio_3,0.8033,0.9554,1,0.3024,0.3635,0.3280,0.3601,0.9546,0.8499,0.8843,0.7579
57,oPiyXhxRGe4,,This is an amateur cover of a grunge rock music piece. Both the recording and the playing are of poor quality. There is a male vocalist singing in a grunt-like manner as the lead. A crunchy riff is being played by the distorted electric guitar and the bass guitar while the acoustic drums are playing a simple rock beat. The atmosphere is rebellious and noisy.,0.0613,mood_theme:noisy,0.9644,meanaudio,acestep_1_5,-0.1086,0.2271,1,0.1774,0.1698,0.1694,0.1160,0.8296,0.7950,0.9414,0.3519
58,K63Z_abB314,,This instrumental song features a lute being played. This is played using fingerstyle. The song sounds like a folk song. There are no other instruments in this song. There are no voices in this song. This song can be played in a documentary scene with green hills at the backdrop. The mood of this song is happy.,0.0616,mood_theme:happy,0.9397,stable_audio_3,acestep_1_5,0.5892,0.6746,1,0.3390,0.2774,0.3120,0.3362,0.8674,0.7967,0.9437,0.4365
59,jPROsr_K710,,"The low quality recording features a Christian Music that contains wide harmonizing vocals singing over shimmering hi hats, simple punchy kick and organ keys playing in the background. It sounds messy, as the vocals are way too loud, relative to the other instruments.",0.0623,vocal:vocals,0.9803,stable_audio_3,acestep_1_5,0.7509,0.5555,1,0.1318,0.1941,0.1568,0.1404,0.3439,0.5025,0.5553,0.3521
60,3IYd8cCmUkQ,,"The low quality recording features a R&B song that consists of passionate male vocals, alongside background harmonizing male vocals, singing over tinny bells melody, synth strings melody, tinny high pitched synth lead melody, shimmering hi hats, gliding bass, punchy kick and claps. It sounds passionate and emotional, even though the mix of the song is poor.",0.0624,instrument:male vocal,0.9975,stable_audio_3,acestep_1_5,0.9238,0.9517,1,0.2290,0.2646,0.2649,0.2025,0.3702,0.9013,0.8188,0.3107
61,hH6thMA3640,,"This is a bluegrass music piece. The acoustic guitar follows an offbeat strumming pattern, providing a rhythmic background. The violin and the banjo take turns to play rapid, upbeat solos. The atmosphere is very lively. This piece could be used at a definitively American setting such as a rodeo venue.",0.0636,instrument:violin,0.9982,stable_audio_3,acestep_1_5,0.9044,0.9583,1,0.3892,0.3989,0.4529,0.3942,0.8556,0.8481,0.8332,0.6507
62,uy3nQ9VYE-Q,,A digital drum is playing a simple groove with a digital bass. An e-piano is playing 2 chords to add some color to the song. A male voice is rapping with light adults in the background. In the background a female voice sample is coming in singing a little melody. This song may be playing in a car slowly riding down the streets.,0.0639,instrument:digital drum,0.9886,meanaudio,acestep_1_5,0.7614,0.9823,1,0.3291,0.3063,0.3591,0.2952,0.6837,0.6341,0.7567,0.3858
63,-RYtUAsNhF0,,"This is a poor quality instrumental piece played in the background of a sign language video. There is an optimistic sounding tune being played by the strings, the piano and the acoustic guitar. The atmosphere is mellow and gentle. Samples from this piece could be lifted to be used in beat-making.",0.0652,instrument:piano,0.9877,musicgen_large,meanaudio,0.9195,0.9885,1,0.2868,0.3435,0.3312,0.2784,0.8351,0.8332,0.7255,0.7873
64,5r4jLwjj_Ik,,This is a jazz music piece. There is a saxophone playing a solo in the lead. A tuba is playing the bass line. There is an electric guitar strumming chords. The rhythm is being played on the ride cymbal by the acoustic drums. The instrumentals have a sophisticated feel. This piece could be playing in the background at a classy restaurant.,0.0654,instrument:saxophone,0.9970,meanaudio,stable_audio_3,0.1977,0.7300,1,0.4701,0.5011,0.4453,0.4357,0.8007,0.6560,0.6956,0.6711
65,JN_VJCJhC4Y,,"The low quality recording features a live performance of dub song manically rapped by flat male vocals, followed by energetic drums, groovy bass and offbeat key chords. The recording is noisy and chaotic a bit, as it is probably recorded with a phone.",0.0655,vocal:male vocal,0.9907,meanaudio,acestep_1_5,0.9455,0.9591,1,0.2010,0.1583,0.1716,0.1354,0.4256,0.7451,0.6933,0.2463
66,qI-Ji4gtBPM,,"The low quality recording features an electro song that contains soft male vocal singing over punchy ""4 on the floor"" kick pattern, shimmering hi hats and open hats, claps, groovy acid synth bass and mellow synth pad chords. It sounds energetic, groovy and hypnotic.",0.0655,instrument:male vocal,0.9982,stable_audio_3,acestep_1_5,0.8672,0.9896,1,0.4224,0.4259,0.4652,0.3996,0.7581,0.9035,0.7183,0.6797
67,qFo_gRhW6dQ,,This is a yoga music piece. There is a male vocal humming a gentle tune. The acoustic guitar is playing a simple arpeggio in the background. There is a calming atmosphere. This piece could fit well during meditation sessions.,0.0656,instrument:male vocal,0.9973,meanaudio,musicgen_large,0.9206,0.7214,1,0.4088,0.3831,0.4487,0.4425,0.5927,0.9894,0.9893,0.4691
68,w62KGC7um_Y,,"Cheery, upbeat Latin music featuring a lively male singer, busy percussion including hand percussion like bongos and congas as well as cowbell and more. String bass plays a syncopated tumbao rhythm while a brass section accompanies a trombone.",0.0658,instrument:male vocal,0.9963,meanaudio,stable_audio_3,0.8666,0.8753,1,0.4016,0.4305,0.3647,0.3898,0.5320,0.6686,0.7679,0.6165
