dataset,rank,id,model,demo_audio,caption,key_tag,winner,loser,clap_caption,muq_caption,clap_pertag_mean,muq_pertag_mean,mqa_qwen3omni,mqa_af,mqa_mf,aqa_qwen3omni,aqa_af,aqa_mf
musiccaps,3,D8-x1T8M4gk,stable_audio_3,audio/musiccaps/03_D8-x1T8M4gk/stable_audio_3.wav,This is a rock and roll piece used as an accompaniment for a dance. There is a male vocal singing at a low-to-medium pitch. The main melody is being played by an electric guitar while the bass guitar is repeating a bass line with a groovy pattern in the background. The acoustic drums are playing an upbeat 4/4 rock and roll beat. There is a raw feeling to it. The tune is catchy. This piece could be playing in the background of a sports bar or a rock bar. It could also work well at sports venues.,vocal:male vocal,meanaudio,stable_audio_3,0.37,0.5658,0.2863,0.2379,0.8791,0.828,0.7777,0.0203,0.9627,0.9627
musiccaps,3,D8-x1T8M4gk,meanaudio,audio/musiccaps/03_D8-x1T8M4gk/meanaudio.wav,This is a rock and roll piece used as an accompaniment for a dance. There is a male vocal singing at a low-to-medium pitch. The main melody is being played by an electric guitar while the bass guitar is repeating a bass line with a groovy pattern in the background. The acoustic drums are playing an upbeat 4/4 rock and roll beat. There is a raw feeling to it. The tune is catchy. This piece could be playing in the background of a sports bar or a rock bar. It could also work well at sports venues.,vocal:male vocal,meanaudio,stable_audio_3,0.3598,0.3135,0.1948,0.2901,0.985,0.8942,0.769,0.9954,0.5928,0.9978
musiccaps,3,D8-x1T8M4gk,acestep_1_5,audio/musiccaps/03_D8-x1T8M4gk/acestep_1_5.wav,This is a rock and roll piece used as an accompaniment for a dance. There is a male vocal singing at a low-to-medium pitch. The main melody is being played by an electric guitar while the bass guitar is repeating a bass line with a groovy pattern in the background. The acoustic drums are playing an upbeat 4/4 rock and roll beat. There is a raw feeling to it. The tune is catchy. This piece could be playing in the background of a sports bar or a rock bar. It could also work well at sports venues.,vocal:male vocal,meanaudio,stable_audio_3,0.3602,0.2689,0.3015,0.1376,0.5695,0.4926,0.4692,0.0076,0.5314,0.8176
musiccaps,3,D8-x1T8M4gk,GT,audio/musiccaps/03_D8-x1T8M4gk/GT.wav,This is a rock and roll piece used as an accompaniment for a dance. There is a male vocal singing at a low-to-medium pitch. The main melody is being played by an electric guitar while the bass guitar is repeating a bass line with a groovy pattern in the background. The acoustic drums are playing an upbeat 4/4 rock and roll beat. There is a raw feeling to it. The tune is catchy. This piece could be playing in the background of a sports bar or a rock bar. It could also work well at sports venues.,vocal:male vocal,meanaudio,stable_audio_3,0.2614,0.3448,0.2276,0.2633,0.9593,0.8749,0.7802,0.9972,0.9841,0.9988
musiccaps,4,bm5IT7e2vvI,musicgen_large,audio/musiccaps/04_bm5IT7e2vvI/musicgen_large.wav,This is a Mexican folk music piece. The main theme is played by a marimba. There is a bass guitar in the background. The acoustic drums and the latin percussion provide the rhythmic background for the piece. It has a very playful atmosphere. The music could definitely be used in a children's movie/TV show or an advertisement targeted at kids.,genre:folk music,musicgen_large,acestep_1_5,0.4144,0.5615,0.2765,0.1274,0.7097,0.7162,0.6115,0.852,0.9399,0.989
musiccaps,4,bm5IT7e2vvI,stable_audio_3,audio/musiccaps/04_bm5IT7e2vvI/stable_audio_3.wav,This is a Mexican folk music piece. The main theme is played by a marimba. There is a bass guitar in the background. The acoustic drums and the latin percussion provide the rhythmic background for the piece. It has a very playful atmosphere. The music could definitely be used in a children's movie/TV show or an advertisement targeted at kids.,genre:folk music,musicgen_large,acestep_1_5,0.384,0.5762,0.2984,0.179,0.6334,0.6676,0.6478,0.9399,0.5929,0.8355
musiccaps,4,bm5IT7e2vvI,meanaudio,audio/musiccaps/04_bm5IT7e2vvI/meanaudio.wav,This is a Mexican folk music piece. The main theme is played by a marimba. There is a bass guitar in the background. The acoustic drums and the latin percussion provide the rhythmic background for the piece. It has a very playful atmosphere. The music could definitely be used in a children's movie/TV show or an advertisement targeted at kids.,genre:folk music,musicgen_large,acestep_1_5,0.3987,0.2552,0.201,0.2125,0.6946,0.6231,0.9002,0.9579,0.9959,0.9987
musiccaps,4,bm5IT7e2vvI,acestep_1_5,audio/musiccaps/04_bm5IT7e2vvI/acestep_1_5.wav,This is a Mexican folk music piece. The main theme is played by a marimba. There is a bass guitar in the background. The acoustic drums and the latin percussion provide the rhythmic background for the piece. It has a very playful atmosphere. The music could definitely be used in a children's movie/TV show or an advertisement targeted at kids.,genre:folk music,musicgen_large,acestep_1_5,0.4072,0.3179,0.2939,0.1713,0.6059,0.5803,0.6223,0.9241,0.2229,0.7982
musiccaps,4,bm5IT7e2vvI,GT,audio/musiccaps/04_bm5IT7e2vvI/GT.wav,This is a Mexican folk music piece. The main theme is played by a marimba. There is a bass guitar in the background. The acoustic drums and the latin percussion provide the rhythmic background for the piece. It has a very playful atmosphere. The music could definitely be used in a children's movie/TV show or an advertisement targeted at kids.,genre:folk music,musicgen_large,acestep_1_5,0.2738,0.1945,0.0905,0.1025,0.6967,0.7235,0.7204,0.9797,0.9797,0.9985
musiccaps,5,-8cgbhIR_pw,musicgen_large,audio/musiccaps/05_-8cgbhIR_pw/musicgen_large.wav,"The low quality recording features a cover of a ballad song that consists of passionate, muddy male vocal singing over arpeggiated acoustic guitar melody. It sounds noisy, muddy and messy, as the frequencies are clashing, but it is also emotional and raw.",vocal:male vocal,stable_audio_3,meanaudio,0.2769,0.3463,0.1995,0.1474,0.7757,0.6203,0.5762,0.0159,0.7982,0.852
musiccaps,5,-8cgbhIR_pw,stable_audio_3,audio/musiccaps/05_-8cgbhIR_pw/stable_audio_3.wav,"The low quality recording features a cover of a ballad song that consists of passionate, muddy male vocal singing over arpeggiated acoustic guitar melody. It sounds noisy, muddy and messy, as the frequencies are clashing, but it is also emotional and raw.",vocal:male vocal,stable_audio_3,meanaudio,0.2576,0.5499,0.1992,0.2975,0.8484,0.8672,0.8868,0.9972,0.9242,0.9933
musiccaps,5,-8cgbhIR_pw,meanaudio,audio/musiccaps/05_-8cgbhIR_pw/meanaudio.wav,"The low quality recording features a cover of a ballad song that consists of passionate, muddy male vocal singing over arpeggiated acoustic guitar melody. It sounds noisy, muddy and messy, as the frequencies are clashing, but it is also emotional and raw.",vocal:male vocal,stable_audio_3,meanaudio,0.2483,0.3303,0.0867,0.1258,0.7998,0.5071,0.6044,0.0159,0.8933,0.9526
musiccaps,5,-8cgbhIR_pw,acestep_1_5,audio/musiccaps/05_-8cgbhIR_pw/acestep_1_5.wav,"The low quality recording features a cover of a ballad song that consists of passionate, muddy male vocal singing over arpeggiated acoustic guitar melody. It sounds noisy, muddy and messy, as the frequencies are clashing, but it is also emotional and raw.",vocal:male vocal,stable_audio_3,meanaudio,0.2454,0.0603,0.1482,-0.0264,0.3306,0.4335,0.41,0.0052,0.438,0.2227
musiccaps,5,-8cgbhIR_pw,GT,audio/musiccaps/05_-8cgbhIR_pw/GT.wav,"The low quality recording features a cover of a ballad song that consists of passionate, muddy male vocal singing over arpeggiated acoustic guitar melody. It sounds noisy, muddy and messy, as the frequencies are clashing, but it is also emotional and raw.",vocal:male vocal,stable_audio_3,meanaudio,0.2223,0.4601,0.259,0.2326,0.8061,0.824,0.8897,0.9669,0.9466,0.9903
musiccaps,6,UzDVZzIIcy8,musicgen_large,audio/musiccaps/06_UzDVZzIIcy8/musicgen_large.wav,"The low quality recording features a wide sustained strings melody and natural sound effects in the background that consist of reverberant birds chirping and water flowing sound effects. It sounds calming, relaxing and emotional.",mood_theme:calming,meanaudio,stable_audio_3,0.3386,0.3113,0.0842,0.0998,0.932,0.9435,0.3482,0.9972,0.977,0.8176
musiccaps,6,UzDVZzIIcy8,stable_audio_3,audio/musiccaps/06_UzDVZzIIcy8/stable_audio_3.wav,"The low quality recording features a wide sustained strings melody and natural sound effects in the background that consist of reverberant birds chirping and water flowing sound effects. It sounds calming, relaxing and emotional.",mood_theme:calming,meanaudio,stable_audio_3,0.3437,0.3098,0.2093,0.2501,0.5728,0.796,0.5944,0.2689,0.8809,0.6225
musiccaps,6,UzDVZzIIcy8,meanaudio,audio/musiccaps/06_UzDVZzIIcy8/meanaudio.wav,"The low quality recording features a wide sustained strings melody and natural sound effects in the background that consist of reverberant birds chirping and water flowing sound effects. It sounds calming, relaxing and emotional.",mood_theme:calming,meanaudio,stable_audio_3,0.3245,0.3706,0.0973,0.1896,0.8452,0.83,0.7317,0.9914,0.989,0.9876
musiccaps,6,UzDVZzIIcy8,acestep_1_5,audio/musiccaps/06_UzDVZzIIcy8/acestep_1_5.wav,"The low quality recording features a wide sustained strings melody and natural sound effects in the background that consist of reverberant birds chirping and water flowing sound effects. It sounds calming, relaxing and emotional.",mood_theme:calming,meanaudio,stable_audio_3,0.3118,0.1646,0.2468,-0.0257,0.9948,0.8552,0.9167,0.9988,0.9707,0.7311
musiccaps,6,UzDVZzIIcy8,GT,audio/musiccaps/06_UzDVZzIIcy8/GT.wav,"The low quality recording features a wide sustained strings melody and natural sound effects in the background that consist of reverberant birds chirping and water flowing sound effects. It sounds calming, relaxing and emotional.",mood_theme:calming,meanaudio,stable_audio_3,0.355,0.4448,0.2832,0.275,0.9989,0.9925,0.9467,0.9997,0.9948,0.9797
musiccaps,7,y6iMm7Pltq0,musicgen_large,audio/musiccaps/07_y6iMm7Pltq0/musicgen_large.wav,Someone is playing a simple repeating melody on a zitar along with a small harp. A flute is playing the same melody in the higher mid-range. A male voice is singing along. Someone is playing tabla. This song sounds calm and repetitive. This song may be playing live at a local performance place.,mood_theme:calm,musicgen_large,meanaudio,0.3343,0.2645,0.1867,0.1113,0.6569,0.628,0.3878,0.0141,0.8671,0.9669
musiccaps,7,y6iMm7Pltq0,stable_audio_3,audio/musiccaps/07_y6iMm7Pltq0/stable_audio_3.wav,Someone is playing a simple repeating melody on a zitar along with a small harp. A flute is playing the same melody in the higher mid-range. A male voice is singing along. Someone is playing tabla. This song sounds calm and repetitive. This song may be playing live at a local performance place.,mood_theme:calm,musicgen_large,meanaudio,0.3184,0.297,0.2233,0.2202,0.642,0.5259,0.5185,0.133,0.9149,0.9948
musiccaps,7,y6iMm7Pltq0,meanaudio,audio/musiccaps/07_y6iMm7Pltq0/meanaudio.wav,Someone is playing a simple repeating melody on a zitar along with a small harp. A flute is playing the same melody in the higher mid-range. A male voice is singing along. Someone is playing tabla. This song sounds calm and repetitive. This song may be playing live at a local performance place.,mood_theme:calm,musicgen_large,meanaudio,0.3382,0.3581,0.1616,0.3055,0.6306,0.8024,0.6793,0.9325,0.977,0.9978
musiccaps,7,y6iMm7Pltq0,acestep_1_5,audio/musiccaps/07_y6iMm7Pltq0/acestep_1_5.wav,Someone is playing a simple repeating melody on a zitar along with a small harp. A flute is playing the same melody in the higher mid-range. A male voice is singing along. Someone is playing tabla. This song sounds calm and repetitive. This song may be playing live at a local performance place.,mood_theme:calm,musicgen_large,meanaudio,0.3045,0.1104,0.2428,0.1582,0.5041,0.4274,0.3355,0.0331,0.6515,0.9669
musiccaps,7,y6iMm7Pltq0,GT,audio/musiccaps/07_y6iMm7Pltq0/GT.wav,Someone is playing a simple repeating melody on a zitar along with a small harp. A flute is playing the same melody in the higher mid-range. A male voice is singing along. Someone is playing tabla. This song sounds calm and repetitive. This song may be playing live at a local performance place.,mood_theme:calm,musicgen_large,meanaudio,0.0708,0.4338,0.0615,0.3196,0.7482,0.6944,0.5513,0.9978,0.8933,0.9972
musiccaps,8,ihCl2ImrOYE,musicgen_large,audio/musiccaps/08_ihCl2ImrOYE/musicgen_large.wav,"This music is instrumental. The tempo is slow with the resounding vibrations of the cello , flute or recorder melody with a female voice talking about Spinal treatment . The music is soft, soothing, meditative,hypnotic, calming, droning, recurring and insistent. This clip is a documentary or tutorial on spinal treatment superimposed on the instrumental.",instrument:cello,musicgen_large,meanaudio,0.3093,0.1624,0.0812,0.1058,0.955,0.7008,0.5836,0.7058,0.4076,0.867
musiccaps,8,ihCl2ImrOYE,stable_audio_3,audio/musiccaps/08_ihCl2ImrOYE/stable_audio_3.wav,"This music is instrumental. The tempo is slow with the resounding vibrations of the cello , flute or recorder melody with a female voice talking about Spinal treatment . The music is soft, soothing, meditative,hypnotic, calming, droning, recurring and insistent. This clip is a documentary or tutorial on spinal treatment superimposed on the instrumental.",instrument:cello,musicgen_large,meanaudio,0.2941,0.4412,0.2718,0.2107,0.759,0.7675,0.8153,0.8355,0.5005,0.5927
musiccaps,8,ihCl2ImrOYE,meanaudio,audio/musiccaps/08_ihCl2ImrOYE/meanaudio.wav,"This music is instrumental. The tempo is slow with the resounding vibrations of the cello , flute or recorder melody with a female voice talking about Spinal treatment . The music is soft, soothing, meditative,hypnotic, calming, droning, recurring and insistent. This clip is a documentary or tutorial on spinal treatment superimposed on the instrumental.",instrument:cello,musicgen_large,meanaudio,0.329,0.2377,0.0942,0.1868,0.7706,0.6604,0.5755,0.4688,0.2453,0.5312
musiccaps,8,ihCl2ImrOYE,acestep_1_5,audio/musiccaps/08_ihCl2ImrOYE/acestep_1_5.wav,"This music is instrumental. The tempo is slow with the resounding vibrations of the cello , flute or recorder melody with a female voice talking about Spinal treatment . The music is soft, soothing, meditative,hypnotic, calming, droning, recurring and insistent. This clip is a documentary or tutorial on spinal treatment superimposed on the instrumental.",instrument:cello,musicgen_large,meanaudio,0.3284,0.0793,0.1549,0.1564,0.7603,0.6906,0.4371,0.3208,0.349,0.4379
musiccaps,8,ihCl2ImrOYE,GT,audio/musiccaps/08_ihCl2ImrOYE/GT.wav,"This music is instrumental. The tempo is slow with the resounding vibrations of the cello , flute or recorder melody with a female voice talking about Spinal treatment . The music is soft, soothing, meditative,hypnotic, calming, droning, recurring and insistent. This clip is a documentary or tutorial on spinal treatment superimposed on the instrumental.",instrument:cello,musicgen_large,meanaudio,0.3306,0.2083,0.137,0.2761,0.729,0.6892,0.6968,0.9995,0.974,0.9841
musiccaps,9,RXk0lQJ7ttc,musicgen_large,audio/musiccaps/09_RXk0lQJ7ttc/musicgen_large.wav,The electronic dance music features a female voice singing a short melody after which the  song goes through a transition passage. After this a male voice can be heard singing a shorter melody. Throughout the music excerpt strings can be heard in the background as well as an electric guitar. The drums play a busy rhythm in the first half of the music passage. In the second half the synth bass kicks in.,instrument:female vocal,stable_audio_3,acestep_1_5,0.1553,0.2012,0.1569,0.0581,0.3954,0.4593,0.1924,0.011,0.8808,0.7311
musiccaps,9,RXk0lQJ7ttc,stable_audio_3,audio/musiccaps/09_RXk0lQJ7ttc/stable_audio_3.wav,The electronic dance music features a female voice singing a short melody after which the  song goes through a transition passage. After this a male voice can be heard singing a shorter melody. Throughout the music excerpt strings can be heard in the background as well as an electric guitar. The drums play a busy rhythm in the first half of the music passage. In the second half the synth bass kicks in.,instrument:female vocal,stable_audio_3,acestep_1_5,0.1808,0.3288,0.2676,0.1994,0.7545,0.5428,0.4835,0.3208,0.755,0.2227
musiccaps,9,RXk0lQJ7ttc,meanaudio,audio/musiccaps/09_RXk0lQJ7ttc/meanaudio.wav,The electronic dance music features a female voice singing a short melody after which the  song goes through a transition passage. After this a male voice can be heard singing a shorter melody. Throughout the music excerpt strings can be heard in the background as well as an electric guitar. The drums play a busy rhythm in the first half of the music passage. In the second half the synth bass kicks in.,instrument:female vocal,stable_audio_3,acestep_1_5,0.1923,0.2984,0.1788,0.2925,0.6832,0.5298,0.5148,0.731,0.1826,0.6225
musiccaps,9,RXk0lQJ7ttc,acestep_1_5,audio/musiccaps/09_RXk0lQJ7ttc/acestep_1_5.wav,The electronic dance music features a female voice singing a short melody after which the  song goes through a transition passage. After this a male voice can be heard singing a shorter melody. Throughout the music excerpt strings can be heard in the background as well as an electric guitar. The drums play a busy rhythm in the first half of the music passage. In the second half the synth bass kicks in.,instrument:female vocal,stable_audio_3,acestep_1_5,0.1686,0.1433,0.1725,0.1545,0.2794,0.4224,0.2295,0.0022,0.7982,0.3487
musiccaps,9,RXk0lQJ7ttc,GT,audio/musiccaps/09_RXk0lQJ7ttc/GT.wav,The electronic dance music features a female voice singing a short melody after which the  song goes through a transition passage. After this a male voice can be heard singing a shorter melody. Throughout the music excerpt strings can be heard in the background as well as an electric guitar. The drums play a busy rhythm in the first half of the music passage. In the second half the synth bass kicks in.,instrument:female vocal,stable_audio_3,acestep_1_5,0.3982,0.2725,0.1912,0.3789,0.7812,0.5706,0.5703,0.2451,0.9241,0.9975
musiccaps,10,D7pjR9cQChM,musicgen_large,audio/musiccaps/10_D7pjR9cQChM/musicgen_large.wav,"The drums are playing a four on the floor techno rhythm with hihats and a strong kick. A synthetic bass follows the kick with almost just a single note playing. Panned to the left and right side of the speakers you can hear a monotone, repeating synth melody. This song may be playing in a technoclub.",instrument:synth melody,stable_audio_3,meanaudio,0.3295,0.4478,0.1172,0.2711,0.793,0.9327,0.7063,0.9999,0.989,0.9964
musiccaps,10,D7pjR9cQChM,stable_audio_3,audio/musiccaps/10_D7pjR9cQChM/stable_audio_3.wav,"The drums are playing a four on the floor techno rhythm with hihats and a strong kick. A synthetic bass follows the kick with almost just a single note playing. Panned to the left and right side of the speakers you can hear a monotone, repeating synth melody. This song may be playing in a technoclub.",instrument:synth melody,stable_audio_3,meanaudio,0.3639,0.3264,0.2751,0.1685,0.8375,0.8175,0.9722,0.9992,0.989,0.982
musiccaps,10,D7pjR9cQChM,meanaudio,audio/musiccaps/10_D7pjR9cQChM/meanaudio.wav,"The drums are playing a four on the floor techno rhythm with hihats and a strong kick. A synthetic bass follows the kick with almost just a single note playing. Panned to the left and right side of the speakers you can hear a monotone, repeating synth melody. This song may be playing in a technoclub.",instrument:synth melody,stable_audio_3,meanaudio,0.3526,0.3725,0.1524,0.3433,0.7671,0.7211,0.7195,0.9995,0.9933,0.9924
musiccaps,10,D7pjR9cQChM,acestep_1_5,audio/musiccaps/10_D7pjR9cQChM/acestep_1_5.wav,"The drums are playing a four on the floor techno rhythm with hihats and a strong kick. A synthetic bass follows the kick with almost just a single note playing. Panned to the left and right side of the speakers you can hear a monotone, repeating synth melody. This song may be playing in a technoclub.",instrument:synth melody,stable_audio_3,meanaudio,0.3267,0.3717,0.2444,0.2958,0.8034,0.9544,0.8988,0.9988,0.9924,0.9707
musiccaps,10,D7pjR9cQChM,GT,audio/musiccaps/10_D7pjR9cQChM/GT.wav,"The drums are playing a four on the floor techno rhythm with hihats and a strong kick. A synthetic bass follows the kick with almost just a single note playing. Panned to the left and right side of the speakers you can hear a monotone, repeating synth melody. This song may be playing in a technoclub.",instrument:synth melody,stable_audio_3,meanaudio,0.4386,0.099,0.2755,0.2504,0.9724,0.9628,0.691,0.9998,0.9941,0.989
sdd,1,56,musicgen_large,audio/sdd/01_56/musicgen_large.wav,"The track seems to be a carribean-latino type beat - somewhat ressembling bachata. The isntruments are accordion, percussions - including bongos and other indigenous percussions. A man is singing langorously in spanish, and is joined by a backing vocal ensemble a bit later in the song. A nylon guitar is strumment syncopated rythms in the background.",vocal:male vocal,meanaudio,acestep_1_5,0.3297,0.4865,0.1577,0.1802,0.5892,0.5349,0.5856,0.0534,0.977,0.9954
sdd,1,56,stable_audio_3,audio/sdd/01_56/stable_audio_3.wav,"The track seems to be a carribean-latino type beat - somewhat ressembling bachata. The isntruments are accordion, percussions - including bongos and other indigenous percussions. A man is singing langorously in spanish, and is joined by a backing vocal ensemble a bit later in the song. A nylon guitar is strumment syncopated rythms in the background.",vocal:male vocal,meanaudio,acestep_1_5,0.3161,0.3167,0.1875,0.1015,0.5319,0.5532,0.4942,0.023,0.9841,0.9669
sdd,1,56,meanaudio,audio/sdd/01_56/meanaudio.wav,"The track seems to be a carribean-latino type beat - somewhat ressembling bachata. The isntruments are accordion, percussions - including bongos and other indigenous percussions. A man is singing langorously in spanish, and is joined by a backing vocal ensemble a bit later in the song. A nylon guitar is strumment syncopated rythms in the background.",vocal:male vocal,meanaudio,acestep_1_5,0.3122,0.4292,0.1301,0.3011,0.6945,0.6354,0.7001,0.9399,0.9579,0.9933
sdd,1,56,acestep_1_5,audio/sdd/01_56/acestep_1_5.wav,"The track seems to be a carribean-latino type beat - somewhat ressembling bachata. The isntruments are accordion, percussions - including bongos and other indigenous percussions. A man is singing langorously in spanish, and is joined by a backing vocal ensemble a bit later in the song. A nylon guitar is strumment syncopated rythms in the background.",vocal:male vocal,meanaudio,acestep_1_5,0.3265,0.1195,0.2087,0.0941,0.4494,0.3473,0.4798,0.0086,0.7312,0.9579
sdd,1,56,GT,audio/sdd/01_56/GT.mp3,"The track seems to be a carribean-latino type beat - somewhat ressembling bachata. The isntruments are accordion, percussions - including bongos and other indigenous percussions. A man is singing langorously in spanish, and is joined by a backing vocal ensemble a bit later in the song. A nylon guitar is strumment syncopated rythms in the background.",vocal:male vocal,meanaudio,acestep_1_5,0.4093,0.3903,0.2402,0.2374,0.7881,0.7574,0.7791,0.9627,0.9797,0.9941
sdd,2,116,musicgen_large,audio/sdd/02_116/musicgen_large.wav,"A peaceful yet emotionally charged instrumental track featuring a blend of calm, acoustic and electric guitars that overlap and intertwine to create a soothing, introspective soundscape that is perfect for relaxing and unwinding, or for providing a poignant, mellow background ambiance during a reflective moment.",instrument:acoustic guitar,meanaudio,stable_audio_3,0.4017,0.3293,0.1563,0.1555,0.9041,0.8817,0.5421,0.9975,0.974,0.9669
sdd,2,116,stable_audio_3,audio/sdd/02_116/stable_audio_3.wav,"A peaceful yet emotionally charged instrumental track featuring a blend of calm, acoustic and electric guitars that overlap and intertwine to create a soothing, introspective soundscape that is perfect for relaxing and unwinding, or for providing a poignant, mellow background ambiance during a reflective moment.",instrument:acoustic guitar,meanaudio,stable_audio_3,0.4256,0.505,0.293,0.2557,0.8829,0.9371,0.8812,0.999,0.9859,0.9959
sdd,2,116,meanaudio,audio/sdd/02_116/meanaudio.wav,"A peaceful yet emotionally charged instrumental track featuring a blend of calm, acoustic and electric guitars that overlap and intertwine to create a soothing, introspective soundscape that is perfect for relaxing and unwinding, or for providing a poignant, mellow background ambiance during a reflective moment.",instrument:acoustic guitar,meanaudio,stable_audio_3,0.3975,0.21,0.1288,0.1667,0.9006,0.8005,0.8762,0.9876,0.852,0.9797
